Country,LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,GDP_per_capita_PPP,TotalGDP,LogGDPperCapita,Population,LogPopulation
Botswana,69.4,72.0,72.0,75.6,1937024.0,5.0,17961.357,43132582313.37,4.254339144989906,2401410.0,6.380466314799339
Brazil,76.2,79.3,79.3,91.4,194451506.0,25.0,18075.705,3787768284767.7905,4.257095244923072,209550238.0,8.321288158426976
Brunei,75.7,77.9,77.9,80.1,373730.0,88.0,78248.8,35343104988.8,4.893477686060347,451676.0,5.654827014748957
Bulgaria,76.0,79.5,79.5,77.1,5179498.0,62.0,29536.678,203128844451.294,4.470361648477698,6877173.0,6.837409949454768
Burkina Faso,61.5,63.6,63.6,33.7,8113116.0,88.0,2486.431,54689559563.355,3.3955764117946505,21995205.0,7.342328014048908
Burundi,64.0,66.1,66.1,14.9,2146694.0,560.0,836.6656,10847736800.1984,2.9225519130788147,12965439.0,7.112787226238405
Cambodia,71.0,73.5,73.5,26.5,4721141.0,101.0,6225.5327,105673798237.2366,3.794176518622766,16974258.0,7.22979079894378
Cameroon,64.2,66.5,66.5,59.4,17739676.0,63.0,4793.556,129021948784.092,3.680657805317177,26915707.0,7.430005791997371
Canada,82.9,85.0,85.0,80.2,32164167.0,4.0,55781.7,2145030105398.7,4.746491745666297,38454011.0,7.584941646200264
Central African Republic,57.9,59.8,59.8,44.5,2451673.0,9.0,1128.5524,5769212910.7628,3.0525217286796433,5112047.0,6.708594838058563
Chad,55.4,57.4,57.4,22.4,4700984.0,17.0,1700.167,30310959813.574997,3.230491582329066,17828225.0,7.251108106435106
Chile,81.5,83.4,83.4,84.8,16850412.0,27.0,29105.102,566276868415.0499,4.463969125626037,19456275.0,7.289059696066042
China,78.4,81.2,81.2,67.5,956553854.0,151.0,20406.73,29108919292117.52,4.309773418398947,1426437224.0,9.154252663570873
Colombia,78.1,80.8,80.8,80.5,43010759.0,48.0,17700.06,906032795287.2001,4.247974738543996,51188120.0,7.709169179391636
Comoros,67.2,69.4,69.4,33.6,296345.0,474.0,3441.2117,2815368851.7560997,3.536711390817305,818133.0,5.9128239106039135
Congo,66.2,67.9,67.9,69.8,4524254.0,19.0,6263.2114,36903699628.7618,3.7967970705395713,5892137.0,6.7702728362107
Costa Rica,81.2,83.7,83.7,85.2,4390911.0,101.0,24140.434,122149123473.526,4.382745073636676,5059939.0,6.704145281242352
Croatia,78.9,82.0,82.0,61.7,2374884.0,69.0,36914.113,144871577487.054,4.567192437330241,3924558.0,6.593790751789512
Cyprus,82.0,83.9,83.9,61.1,838047.0,148.0,49929.84,65771030406.96,4.698360174362171,1317269.0,6.11967447145864
Denmark,82.2,84.1,84.1,87.4,5248366.0,141.0,70342.32,411975553759.68005,4.847216687930061,5856724.0,6.767654758243205
