LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,Country
70.4,74.2,74.2,26.6,222762,4,Guyana
65.3,68.7,68.7,61.7,7343428,432,Haiti
73.2,75.9,75.9,58.3,6421078,98,Honduras
85.8,88.4,88.4,0,0,,Hong Kong
77.3,80.5,80.5,72,6937818,106,Hungary
83.2,84.6,84.6,84,334395,4,Iceland
72.5,74.1,74.1,37.1,542742539,492,India
71.4,73.6,73.6,59.6,170361295,158,Indonesia
78.1,80.0,80.0,73.3,67760281,57,Iran
72.5,74.3,74.3,72.4,34038857,108,Iraq
82.7,84.7,84.7,62.1,3294830,77,Ireland
82.8,84.8,84.8,91.4,8698204,440,Israel
84.0,86.0,86.0,72,42568771,201,Italy
71.7,74.3,74.3,60.2,1706544,262,Jamaica
85.0,88.0,88.0,93.1,114645589,338,Japan
78.1,80.5,80.5,85.1,9802267,130,Jordan
74.7,78.6,78.6,55.1,11494249,8,Kazakhstan
64.0,66.3,66.3,31.9,18371967,101,Kenya
66.7,68.5,68.5,57.3,78192,169,Kiribati
80.8,82.1,82.1,91.6,4602914,282,Kuwait
72.0,75.6,75.6,35.3,2573712,38,Kyrgyzstan
69.5,71.8,71.8,38.3,3018824,34,Laos
76.5,80.7,80.7,67.5,1250246,30,Latvia
78.1,80.0,80.0,86,5032693,572,Lebanon
58.2,60.9,60.9,32.8,774177,78,Lesotho
62.5,63.8,63.8,55,3150252,60,Liberia
73.2,75.3,75.3,77.5,5780434,4,Libya
76.3,80.9,80.9,68.2,1929035,45,Lithuania
82.5,84.1,84.1,87.2,593272,263,Luxembourg
83.4,85.5,85.5,97.1,701381,,Macao
64.0,65.8,65.8,40.3,13199949,56,Madagascar
67.7,71.0,71.0,19.8,4407124,236,Malawi
77.0,79.7,79.7,77.4,27844592,110,Malaysia
81.5,83.2,83.2,39.6,209810,,Maldives
60.9,62.4,62.4,44.4,11190626,21,Mali
83.6,85.5,85.5,76.5,417398,,Malta
82.9,85.8,85.8,0,0,321,Martinique
68.9,71.0,71.0,60.3,3206736,5,Mauritania
75.3,78.5,78.5,41.5,526689,625,Mauritius
76.4,78.7,78.7,41.4,139411,899,Mayotte
75.4,78.2,78.2,87.9,115925945,68,Mexico
71.8,74.8,74.8,23.5,26661,162,Micronesia
71.5,75.8,75.8,57.7,1729211,91,Moldova
72.2,76.9,76.9,67.2,2362934,2,Mongolia
77.4,80.6,80.6,68.7,434519,47,Montenegro
75.7,78.0,78.0,67.3,25869035,86,Morocco
64.0,66.9,66.9,41.6,14810679,45,Mozambique
67.3,70.6,70.6,34.1,18722491,84,Myanmar
67.7,71.6,71.6,54.4,1683548,4,Namibia
70.9,72.4,72.4,24.5,7265589,207,Nepal
82.4,84.0,84.0,88.9,16318658,544,Netherlands
79.1,81.5,81.5,75.7,223627,16,New Caledonia
82.4,84.0,84.0,83.6,4388310,20,New Zealand
75.3,77.7,77.7,58.1,4071293,58,Nicaragua
61.7,62.7,62.7,18.2,5067678,22,Niger
54.8,55.1,55.1,54.9,130312056,261,Nigeria
73.9,76.0,76.0,63.3,16815725,221,North Korea
77.7,79.8,79.8,69.4,1258951,72,North Macedonia
83.6,85.1,85.1,85.9,4830373,15,Norway
80.5,82.2,82.2,90.8,4989686,18,Oman
67.9,70.5,70.5,34.4,87777053,331,Pakistan
80.0,82.8,82.8,70.7,3229574,61,Panama
66.4,69.3,69.3,12.6,1351201,24,Papua New Guinea
74.1,77.2,77.2,68,4770669,18,Paraguay
78.1,80.5,80.5,80.6,27880400,27,Peru
70.1,73.1,73.1,49.3,57606092,392,Philippines
79.0,82.6,82.6,59.2,22598335,125,Poland
82.7,85.4,85.4,66.5,6926293,114,Portugal
82.1,85.5,85.5,0,0,365,Puerto Rico
82.7,83.6,83.6,96.6,3010901,268,Qatar
83.8,86.6,86.6,0,0,353,Réunion
76.2,79.8,79.8,55.2,10431178,82,Romania
73.5,79.3,79.3,75,108062384,9,Russia
68.2,70.4,70.4,18.3,2659944,591,Rwanda
73.0,76.6,76.6,19.9,35853,295,Saint Lucia
71.9,74.0,74.0,16.3,35747,77,Samoa
70.1,74.1,74.1,78.2,187994,250,Sao Tome & Principe
79.2,81.5,81.5,92.1,31842626,16,Saudi Arabia
69.2,71.3,71.3,52.3,9903731,98,Senegal
77.1,80.3,80.3,73.6,4923756,76,Serbia
73.1,76.8,76.8,43.8,58120,289,Seychelles
62.1,63.9,63.9,45.5,4017056,122,Sierra Leone
84.0,86.5,86.5,0,0,,Singapore
78.7,81.8,81.8,54,2955290,114,Slovakia
81.9,84.6,84.6,55.7,1179249,105,Slovenia
70.8,72.3,72.3,22.8,190885,30,Solomon Islands
59.1,61.7,61.7,46.6,9168559,31,Somalia
66.5,70.0,70.0,66.6,43112579,53,South Africa
84.5,87.4,87.4,82.4,42587468,531,South Korea
57.9,60.9,60.9,27.7,3378254,20,South Sudan
84.0,86.6,86.6,79.3,37995950,96,Spain
77.9,80.9,80.9,18.1,4193316,370,Sri Lanka
71.5,74.6,74.6,61.6,61573,256,St. Vincent & Grenadines
73.1,76.9,76.9,84.2,4707958,929,State of Palestine
66.7,70.0,70.0,35.3,18220482,29,Sudan
73.9,77.1,77.1,62.4,399428,4,Suriname
83.6,85.3,85.3,87.4,9309134,26,Sweden
84.2,86.1,86.1,74.4,6668094,227,Switzerland
73.0,75.4,75.4,53.6,13735765,140,Syria
80.9,83.9,83.9,84,19421267,653,Taiwan
72.1,74.3,74.3,27.7,2987515,77,Tajikistan
67.4,70.2,70.2,40,28244987,80,Tanzania
76.8,81.2,81.2,53.5,38343775,140,Thailand
68.1,69.9,69.9,36,510529,95,Timor-Leste
63.1,63.4,63.4,44.2,4295574,179,Togo
73.2,76.7,76.7,26,26950,144,Tonga
73.7,77.0,77.0,49.1,741616,295,Trinidad and Tobago
76.9,79.5,79.5,71.7,8853818,79,Tunisia
77.8,80.8,80.8,76.9,67446349,114,Turkey
70.3,73.2,73.2,46.5,3540511,16,Turkmenistan
75.9,81.6,81.6,0,0,240,U.S. Virgin Islands
68.7,71.6,71.6,30,15430672,257,Uganda
74.9,79.5,79.5,76.8,29923619,67,Ukraine
83.2,84.4,84.4,81.1,9207088,136,United Arab Emirates
81.6,83.4,83.4,84.5,58798650,287,United Kingdom
79.6,82.1,82.1,82.8,287421363,38,United States
78.5,82.2,82.2,0,0,19,Uruguay
72.7,75.7,75.7,48.1,17835913,87,Uzbekistan
71.8,74.3,74.3,25.4,85244,27,Vanuatu
72.8,76.8,76.8,0,0,32,Venezuela
74.9,79.5,79.5,41.4,42039428,328,Vietnam
71.8,74.0,74.0,97,583007,2,Western Sahara
69.6,71.7,71.7,33,13801674,79,Yemen
66.7,69.1,69.1,46.8,10256668,29,Zambia
63.3,65.6,65.6,37.9,6429761,44,Zimbabwe
