LifeExpectancy_Both,LifeExpectancy_Female,LifeExpectancy_Male,UrbanPopulation_Percentage,UrbanPopulation_Absolute,PopulationDensity,Country
66.5,68.1,68.1,26.7,11704638,67,Afghanistan
80.0,81.7,81.7,70.3,1948831,101,Albania
76.7,78.1,78.1,74.4,35291973,20,Algeria
65.0,67.5,67.5,68.8,26847887,31,Angola
77.9,80.6,80.6,28.5,26823,214,Antigua and Barbuda
77.7,80.2,80.2,96,44010474,17,Argentina
76.0,79.7,79.7,63.8,1882155,104,Armenia
76.6,79.1,79.1,44.7,48340,601,Aruba
84.2,86.0,86.0,86.5,23335357,4,Australia
82.3,84.6,84.6,58.6,5337973,111,Austria
74.7,77.4,77.4,58.7,6101378,126,Azerbaijan
74.9,78.5,78.5,88.4,356391,40,Bahamas
81.6,82.3,82.3,0,0,,Bahrain
75.2,76.9,76.9,42.6,74837709,,Bangladesh
76.5,78.9,78.9,32.5,91766,657,Barbados
74.8,79.4,79.4,84.4,7589573,44,Belarus
82.4,84.6,84.6,98.8,11613585,388,Belgium
73.9,76.8,76.8,48.6,205478,19,Belize
61.1,62.6,62.6,47.8,7076087,131,Benin
73.5,75.6,75.6,50.3,400623,21,Bhutan
68.9,71.5,71.5,70.6,8887268,12,Bolivia
78.2,81.2,81.2,56.3,1768228,62,Bosnia and Herzegovina
69.4,72.0,72.0,75.6,1937024,5,Botswana
76.2,79.3,79.3,91.4,194451506,25,Brazil
75.7,77.9,77.9,80.1,373730,88,Brunei
76.0,79.5,79.5,77.1,5179498,62,Bulgaria
61.5,63.6,63.6,33.7,8113116,88,Burkina Faso
64.0,66.1,66.1,14.9,2146694,560,Burundi
76.4,79.5,79.5,78.6,414288,131,Cabo Verde
71.0,73.5,73.5,26.5,4721141,101,Cambodia
64.2,66.5,66.5,59.4,17739676,63,Cameroon
82.9,85.0,85.0,80.2,32164167,4,Canada
57.9,59.8,59.8,44.5,2451673,9,Central African Republic
55.4,57.4,57.4,22.4,4700984,17,Chad
81.5,83.4,83.4,84.8,16850412,27,Chile
78.4,81.2,81.2,67.5,956553854,151,China
78.1,80.8,80.8,80.5,43010759,48,Colombia
67.2,69.4,69.4,33.6,296345,474,Comoros
66.2,67.9,67.9,69.8,4524254,19,Congo
81.2,83.7,83.7,85.2,4390911,101,Costa Rica
62.3,64.5,64.5,49,16021559,103,Côte d'Ivoire
78.9,82.0,82.0,61.7,2374884,69,Croatia
78.4,80.8,80.8,81.9,8957468,103,Cuba
77.2,81.1,81.1,80.8,149822,418,Curaçao
82.0,83.9,83.9,61.1,838047,148,Cyprus
80.1,82.9,82.9,75,7952770,137,Czech Republic (Czechia)
82.2,84.1,84.1,87.4,5248366,141,Denmark
66.4,69.0,69.0,71.3,843657,51,Djibouti
74.0,77.2,77.2,86.4,9950299,238,Dominican Republic
62.2,64.4,64.4,45,50722858,50,DR Congo
77.8,80.5,80.5,66,12062680,74,Ecuador
72.0,74.2,74.2,40.9,48427431,119,Egypt
72.5,76.7,76.7,79.9,5085472,307,El Salvador
64.1,66.1,66.1,63.6,1232213,69,Equatorial Guinea
69.2,71.2,71.2,74.8,2698752,36,Eritrea
79.5,83.3,83.3,66.9,899102,32,Estonia
64.4,67.3,67.3,31.3,392638,73,Eswatini
67.9,71.3,71.3,22.5,30487323,135,Ethiopia
67.6,69.7,69.7,60.8,567088,51,Fiji
82.2,84.9,84.9,86.7,4874169,19,Finland
83.6,86.3,86.3,82.5,55018724,122,France
77.4,80.3,80.3,94.5,296315,4,French Guiana
84.3,86.7,86.7,65.9,186114,77,French Polynesia
68.7,71.4,71.4,83.7,2171202,10,Gabon
66.3,68.0,68.0,61.3,1731095,279,Gambia
74.8,79.4,79.4,62,2358908,55,Georgia
81.7,84.0,84.0,76.5,64345635,241,Germany
65.9,68.4,68.4,58.6,20539206,154,Ghana
82.2,84.6,84.6,89.5,8897137,77,Greece
75.5,78.6,78.6,35.5,41685,345,Grenada
82.4,85.8,85.8,0,0,221,Guadeloupe
77.6,81.7,81.7,98.8,167029,313,Guam
72.9,75.2,75.2,56.6,10568383,174,Guatemala
61.1,62.3,62.3,40.3,6082701,61,Guinea
64.4,66.7,66.7,46.2,1038474,80,Guinea-Bissau
